incident_id,district,police_division,crime_type,date,day_of_week,is_holiday,time_bracket,location_type,lighting_level,victim_gender,victim_age_bracket,prior_offenses,offender_drug_history,reported_2015_total,solved_2015_total,cleared_rate_pct,reported_status,referral_source
2015-PUT-002,Puttalam,Chilaw,Homicide,9/1/2015,Tuesday,No,Night,Residential,Poorly-lit,Male,25-35,0,No,568,540,95,Solved,Police
2015-COL-005,Colombo,Colombo South,Drug Offences (Cannabis),2/14/2015,Saturday,No,Afternoon,Transport Hub,Well-lit,Male,18-24,3,Yes,49540,47000,94,Solved,Police
2015-GAM-004,Gampaha,Negombo,Robbery,4/13/2015,Monday,No,Night,Commercial,Dark,Female,18-24,1,No,3542,2300,65,Solved,Police
2015-KAN-004,Kandy,Peradeniya,House Breaking,11/5/2015,Thursday,No,Night,Residential,Dark,Male,45-60,2,No,9245,3050,33,Under Investigation,Police
2015-KAL-003,Kalutara,Panadura,Grievous Hurt,3/1/2015,Sunday,No,Evening,Public Space,Poorly-lit,Male,35-45,0,No,1410,1290,91,Solved,Hospital
2015-GAL-004,Galle,Galle City,Drug Offences (Heroin),1/28/2015,Wednesday,No,Morning,Coastal Area,Well-lit,Male,18-24,2,Yes,26145,25000,95,Solved,Police
2015-JAF-004,Jaffna,Jaffna,Statutory Rape,8/5/2015,Wednesday,No,Afternoon,Residential,Well-lit,Female,Under 16,0,No,1258,1180,93,Solved,NGO
2015-KUR-004,Kurunegala,Kurunegala,Robbery,3/30/2015,Monday,No,Evening,Commercial,Well-lit,Male,25-35,2,No,3542,2300,65,Solved,Police
2015-RAT-004,Ratnapura,Ratnapura,House Breaking,10/10/2015,Saturday,No,Night,Residential,Dark,Male,45-60,0,No,9245,3050,33,Under Investigation,Police
2015-ANU-004,Anuradhapura,Kekirawa,Cheating/BCT,11/5/2015,Thursday,No,Morning,Commercial,Well-lit,Male,60+,1,No,2615,1700,65,Solved,Self-Reported
2015-COL-006,Colombo,Nugegoda,Drug Offences (Heroin),2/22/2015,Sunday,No,Afternoon,Transport Hub,Well-lit,Male,18-24,2,Yes,26145,25000,95,Solved,Police
2015-GAM-005,Gampaha,Wattala,Property Theft,8/28/2015,Friday,No,Afternoon,Public Space,Well-lit,Female,25-35,1,No,6402,3400,53,Solved,Police
2015-KAN-005,Kandy,Peradeniya,Robbery,4/15/2015,Wednesday,No,Night,Residential,Dark,Male,35-45,2,No,3542,2300,65,Solved,Police
2015-KAL-004,Kalutara,Kalutara,Homicide,5/15/2015,Friday,No,Night,Public Space,Poorly-lit,Male,25-35,0,No,568,540,95,Solved,Police
2015-GAL-005,Galle,Galle City,Drug Offences (Cannabis),1/25/2015,Sunday,No,Morning,Coastal Area,Well-lit,Male,18-24,3,Yes,49540,47000,94,Solved,Police
2015-JAF-005,Jaffna,Kankesanturai,House Breaking,10/20/2015,Tuesday,No,Night,Residential,Dark,Female,45-60,1,No,9245,3050,33,Solved,Police
2015-COL-051,Colombo,Mount Lavinia,Drug Offences (Heroin),3/25/2015,Wednesday,No,Afternoon,Transport Hub,Well-lit,Male,20-29,2,Yes,26145,25000,95,Solved,Police
2015-GAM-052,Gampaha,Kelaniya,Drug Offences (Heroin),6/18/2015,Thursday,No,Morning,Residential,Well-lit,Male,30-34,3,Yes,26145,25000,95,Solved,Police
2015-KAN-053,Kandy,Kandy Central,House Breaking,4/14/2015,Tuesday,Yes,Night,Residential,Dark,Female,45-60,1,No,9245,3050,33,Under Investigation,Police
2015-GAL-054,Galle,Galle City,Property Theft,11/20/2015,Friday,No,Afternoon,Commercial,Well-lit,Male,25-35,1,No,6402,3400,53,Solved,Police
2015-JAF-055,Jaffna,Jaffna,Drug Offences (Cannabis),1/22/2015,Thursday,No,Morning,Coastal Area,Well-lit,Male,20-29,1,Yes,49540,47000,94,Solved,Police
2015-KUR-056,Kurunegala,Nikaweratiya,Cattle Theft,10/15/2015,Thursday,No,Night,Agricultural,Dark,Male,45-60,2,No,984,816,83,Solved,Police
2015-COL-057,Colombo,Nugegoda,Cheating/BCT,5/23/2015,Saturday,No,Morning,Commercial,Well-lit,Female,35-45,0,No,2615,1700,65,Solved,Self-Reported
2015-KAL-058,Kalutara,Panadura,Grievous Hurt,8/10/2015,Monday,No,Evening,Public Space,Poorly-lit,Male,30-34,2,No,1410,1290,91,Solved,Hospital
2015-RAT-059,Ratnapura,Ratnapura,Drug Offences (Heroin),2/12/2015,Thursday,No,Afternoon,Coastal Area,Well-lit,Male,20-29,4,Yes,26145,25000,95,Solved,Police
2015-ANU-060,Anuradhapura,Anuradhapura,House Breaking,5/17/2015,Sunday,No,Night,Residential,Dark,Male,45-60,0,No,9245,3050,33,Solved,Police
2015-MAT-061,Matara,Weligama,Property Theft,8/25/2015,Tuesday,No,Morning,Commercial,Well-lit,Female,25-35,1,No,6402,3400,53,Solved,Police
2015-BAD-062,Badulla,Bandarawela,Unlawful Assembly,7/9/2015,Thursday,No,Afternoon,Public Space,Well-lit,Male,25-35,0,No,1056,920,87,Solved,Police
2015-PUT-063,Puttalam,Chilaw,Homicide,9/1/2015,Tuesday,No,Night,Residential,Poorly-lit,Male,35-45,0,No,568,540,95,Solved,Police
2015-TRI-064,Trincomalee,Trincomalee,Extortion,8/1/2015,Saturday,No,Evening,Commercial,Well-lit,Male,35-45,1,No,158,102,64,Under Investigation,Self-Reported
2015-GAM-065,Gampaha,Negombo,Drug Offences (Heroin),2/14/2015,Saturday,No,Morning,Coastal Area,Well-lit,Male,20-29,3,Yes,26145,25000,95,Solved,Police
2015-COL-066,Colombo,Colombo South,Homicide,11/5/2015,Thursday,No,Night,Public Space,Poorly-lit,Male,35-45,0,No,568,540,95,Solved,Police
2015-KAN-067,Kandy,Gampola,Robbery,3/30/2015,Monday,No,Night,Residential,Dark,Female,18-24,1,No,3542,2300,65,Solved,Police
2015-KAL-068,Kalutara,Kalutara,Drug Offences (Heroin),1/25/2015,Sunday,No,Afternoon,Public Space,Well-lit,Male,20-29,2,Yes,26145,25000,95,Solved,Police
2015-GAL-069,Galle,Hikkaduwa,Statutory Rape,8/5/2015,Wednesday,No,Afternoon,Residential,Well-lit,Female,Under 16,0,No,1258,1180,93,Solved,NGO
2015-JAF-070,Jaffna,Kankesanturai,House Breaking,4/12/2015,Sunday,No,Night,Residential,Dark,Male,45-60,1,No,9245,3050,33,Solved,Police
2015-KUR-071,Kurunegala,Kuliyapitiya,Cheating/BCT,6/25/2015,Thursday,No,Morning,Commercial,Well-lit,Male,60+,1,No,2615,1700,65,Solved,Self-Reported
2015-COL-072,Colombo,Colombo North,Cattle Theft,2/12/2015,Thursday,No,Night,Agricultural,Dark,Male,60+,2,No,984,816,83,Solved,Police
2015-GAM-073,Gampaha,Wattala,Property Theft,10/25/2015,Sunday,No,Afternoon,Transport Hub,Well-lit,Female,25-35,1,No,6402,3400,53,Solved,Police
2015-KAN-074,Kandy,Peradeniya,Drug Offences (Heroin),9/12/2015,Saturday,No,Morning,Transport Hub,Well-lit,Male,30-34,4,Yes,26145,25000,95,Solved,Police
2015-GAL-075,Galle,Ambalangoda,Robbery,3/30/2015,Monday,No,Night,Residential,Dark,Male,35-45,2,No,3542,2300,65,Solved,Police
2015-JAF-076,Jaffna,Chavakachcheri,Grievous Hurt,3/1/2015,Sunday,No,Evening,Public Space,Poorly-lit,Male,30-34,0,No,1410,1290,91,Solved,Hospital
2015-KUR-077,Kurunegala,Kurunegala,Drug Offences (Cannabis),1/28/2015,Wednesday,No,Afternoon,Transport Hub,Well-lit,Male,20-29,3,Yes,49540,47000,94,Solved,Police
2015-RAT-078,Ratnapura,Embilipitiya,House Breaking,10/20/2015,Tuesday,No,Night,Residential,Dark,Female,45-60,1,No,9245,3050,33,Solved,Police
2015-ANU-079,Anuradhapura,Anuradhapura,Property Theft,8/22/2015,Saturday,No,Morning,Commercial,Well-lit,Female,25-35,1,No,6402,3400,53,Solved,Police
2015-COL-080,Colombo,Mount Lavinia,Drug Offences (Heroin),2/22/2015,Sunday,No,Afternoon,Transport Hub,Well-lit,Male,20-29,2,Yes,26145,25000,95,Solved,Police
2015-GAM-081,Gampaha,Kelaniya,Robbery,3/25/2015,Wednesday,No,Night,Commercial,Dark,Male,35-45,2,No,3542,2300,65,Solved,Police
2015-KAN-082,Kandy,Kandy Central,Cheating/BCT,6/18/2015,Thursday,No,Morning,Commercial,Well-lit,Female,25-35,1,No,2615,1700,65,Under Investigation,Self-Reported
2015-KAL-083,Kalutara,Panadura,Drug Offences (Heroin),10/5/2015,Monday,No,Afternoon,Transport Hub,Well-lit,Male,20-29,3,Yes,26145,25000,95,Solved,Police
2015-GAL-084,Galle,Galle City,Property Theft,8/28/2015,Friday,No,Afternoon,Public Space,Well-lit,Female,45-60,1,No,6402,3400,53,Solved,Police
2015-JAF-085,Jaffna,Jaffna,Drug Offences (Heroin),9/18/2015,Friday,No,Afternoon,Transport Hub,Well-lit,Male,20-29,3,Yes,26145,25000,95,Solved,Police
2015-KUR-086,Kurunegala,Nikaweratiya,Robbery,3/28/2015,Saturday,No,Evening,Commercial,Well-lit,Female,18-24,1,No,3542,2300,65,Solved,Police
2015-RAT-087,Ratnapura,Ratnapura,House Breaking,10/10/2015,Saturday,No,Night,Residential,Dark,Male,45-60,0,No,9245,3050,33,Under Investigation,Police
2015-ANU-088,Anuradhapura,Kekirawa,Cheating/BCT,11/5/2015,Thursday,No,Morning,Commercial,Well-lit,Male,60+,1,No,2615,1700,65,Solved,Self-Reported
2015-COL-089,Colombo,Nugegoda,Drug Offences (Heroin),2/22/2015,Sunday,No,Afternoon,Transport Hub,Well-lit,Male,20-29,2,Yes,26145,25000,95,Solved,Police
2015-GAM-090,Gampaha,Wattala,Property Theft,8/28/2015,Friday,No,Afternoon,Public Space,Well-lit,Female,25-35,1,No,6402,3400,53,Solved,Police
2015-KAN-091,Kandy,Peradeniya,Robbery,4/15/2015,Wednesday,No,Night,Residential,Dark,Male,35-45,2,No,3542,2300,65,Solved,Police
2015-KAL-092,Kalutara,Kalutara,Homicide,5/15/2015,Friday,No,Night,Public Space,Poorly-lit,Male,25-35,0,No,568,540,95,Solved,Police
2015-GAL-093,Galle,Galle City,Drug Offences (Cannabis),1/25/2015,Sunday,No,Morning,Coastal Area,Well-lit,Male,20-29,3,Yes,49540,47000,94,Solved,Police
2015-JAF-094,Jaffna,Kankesanturai,House Breaking,10/20/2015,Tuesday,No,Night,Residential,Dark,Female,45-60,1,No,9245,3050,33,Solved,Police
2015-KUR-095,Kurunegala,Kuliyapitiya,Drug Offences (Heroin),12/5/2015,Saturday,No,Morning,Transport Hub,Well-lit,Male,20-29,2,Yes,26145,25000,95,Solved,Police
2015-COL-096,Colombo,Colombo South,Homicide,12/25/2015,Friday,Yes,Night,Residential,Poorly-lit,Male,35-45,0,No,568,540,95,Solved,Police
2015-GAM-097,Gampaha,Kelaniya,Drug Offences (Heroin),3/27/2015,Friday,No,Evening,Public Space,Well-lit,Male,20-29,3,Yes,26145,25000,95,Solved,Police
2015-KAN-098,Kandy,Gampola,House Breaking,9/15/2015,Tuesday,No,Night,Residential,Dark,Male,45-60,2,No,9245,3050,33,Under Investigation,Police
2015-KAL-099,Kalutara,Panadura,Grievous Hurt,2/14/2015,Saturday,No,Evening,Public Space,Poorly-lit,Male,30-34,1,No,1410,1290,91,Solved,Hospital
2015-COL-100,Colombo,Nugegoda,Cheating/BCT,1/15/2015,Thursday,No,Morning,Commercial,Well-lit,Male,35-45,0,No,2615,1700,65,Solved,Self-Reported
2015-GAL-101,Galle,Hikkaduwa,Property Theft,12/24/2015,Thursday,Yes,Night,Coastal Area,Poorly-lit,Female,25-35,1,No,6402,3400,53,Solved,Police
2015-BAT-102,Batticaloa,Kalkudah,Drug Offences (Cannabis),7/15/2015,Wednesday,No,Morning,Coastal Area,Well-lit,Male,20-29,2,Yes,49540,47000,94,Solved,Police
2015-TRI-103,Trincomalee,Trincomalee,Extortion,5/10/2015,Sunday,No,Evening,Commercial,Well-lit,Male,35-45,3,No,158,102,64,Under Investigation,Self-Reported
2015-JAF-104,Jaffna,Kankesanturai,House Breaking,4/14/2015,Tuesday,Yes,Night,Residential,Dark,Male,45-60,0,No,9245,3050,33,Solved,Police
2015-MAT-105,Matara,Matara,Grievous Hurt,1/20/2015,Tuesday,No,Evening,Public Space,Poorly-lit,Male,30-34,1,No,1410,1290,91,Solved,Hospital
2015-ANU-106,Anuradhapura,Kekirawa,Cattle Theft,9/5/2015,Saturday,No,Night,Agricultural,Dark,Male,45-60,4,No,984,816,83,Solved,Police
2015-KUR-107,Kurunegala,Kuliyapitiya,Drug Offences (Heroin),3/12/2015,Monday,No,Afternoon,Transport Hub,Well-lit,Male,30-34,3,Yes,26145,25000,95,Solved,Police
2015-COL-108,Colombo,Colombo Central,Homicide,11/12/2015,Thursday,No,Night,Residential,Poorly-lit,Male,35-45,0,No,568,540,95,Solved,Police
2015-GAM-109,Gampaha,Kelaniya,Drug Offences (Heroin),2/28/2015,Saturday,No,Morning,Transport Hub,Well-lit,Male,20-29,2,Yes,26145,25000,95,Solved,Police
2015-KAL-110,Kalutara,Kalutara,Mischief,6/15/2015,Monday,No,Morning,Public Space,Well-lit,Female,25-35,1,No,345,198,57,Solved,NGO
2015-RAT-111,Ratnapura,Embilipitiya,Arson,8/22/2015,Saturday,No,Night,Residential,Poorly-lit,Male,35-45,0,No,310,120,38,Solved,Police
2015-BAD-112,Badulla,Badulla,Drug Offences (Heroin),10/5/2015,Monday,No,Afternoon,Transport Hub,Well-lit,Male,20-29,3,Yes,26145,25000,95,Solved,Police
2015-PUT-113,Puttalam,Puttalam,House Breaking,12/1/2015,Tuesday,No,Night,Residential,Dark,Female,45-60,1,No,9245,3050,33,Under Investigation,Police
2015-COL-114,Colombo,Mount Lavinia,Cheating/BCT,5/15/2015,Friday,No,Morning,Commercial,Well-lit,Male,60+,2,No,2615,1700,65,Solved,Self-Reported
2015-KAN-115,Kandy,Peradeniya,Grievous Hurt,3/30/2015,Monday,No,Evening,Public Space,Poorly-lit,Male,30-34,0,No,1410,1290,91,Solved,Hospital
2015-GAL-116,Galle,Ambalangoda,Robbery,7/9/2015,Thursday,No,Evening,Commercial,Well-lit,Female,18-24,1,No,3542,2300,65,Solved,Police
2015-JAF-117,Jaffna,Jaffna,Drug Offences (Heroin),2/14/2015,Saturday,No,Afternoon,Transport Hub,Well-lit,Male,20-29,3,Yes,26145,25000,95,Solved,Police
2015-KUR-118,Kurunegala,Nikaweratiya,Property Theft,8/25/2015,Tuesday,No,Afternoon,Commercial,Well-lit,Male,25-35,1,No,6402,3400,53,Solved,Police
2015-RAT-119,Ratnapura,Ratnapura,Drug Offences (Heroin),11/25/2015,Wednesday,No,Morning,Public Space,Well-lit,Male,30-34,4,Yes,26145,25000,95,Solved,Police
2015-ANU-120,Anuradhapura,Anuradhapura,House Breaking,4/13/2015,Monday,No,Night,Residential,Dark,Male,45-60,0,No,9245,3050,33,Solved,Police
2015-COL-121,Colombo,Nugegoda,Cheating/BCT,9/18/2015,Friday,No,Morning,Commercial,Well-lit,Female,45-60,1,No,2615,1700,65,Under Investigation,Self-Reported
2015-GAM-122,Gampaha,Negombo,Drug Offences (Heroin),1/10/2015,Saturday,No,Afternoon,Coastal Area,Well-lit,Male,20-29,3,Yes,26145,25000,95,Solved,Police
2015-KAN-123,Kandy,Gampola,Robbery,6/22/2015,Monday,No,Evening,Public Space,Well-lit,Female,18-24,1,No,3542,2300,65,Solved,Police
2015-KAL-124,Kalutara,Panadura,Drug Offences (Heroin),3/22/2015,Sunday,No,Afternoon,Transport Hub,Well-lit,Male,20-29,2,Yes,26145,25000,95,Solved,Police
2015-GAL-125,Galle,Galle City,Homicide,5/12/2015,Tuesday,No,Night,Public Space,Poorly-lit,Male,35-45,0,No,568,540,95,Solved,Police
2015-JAF-126,Jaffna,Chavakachcheri,Statutory Rape,8/7/2015,Friday,No,Afternoon,Residential,Well-lit,Female,Under 16,0,No,1258,1180,93,Solved,NGO
2015-KUR-127,Kurunegala,Kuliyapitiya,House Breaking,10/10/2015,Saturday,No,Night,Residential,Dark,Male,45-60,1,No,9245,3050,33,Under Investigation,Police
2015-RAT-128,Ratnapura,Embilipitiya,Property Theft,12/10/2015,Thursday,No,Morning,Commercial,Well-lit,Female,25-35,1,No,6402,3400,53,Solved,Police
2015-ANU-129,Anuradhapura,Kekirawa,Drug Offences (Cannabis),2/22/2015,Sunday,No,Morning,Agricultural,Well-lit,Male,20-29,2,Yes,49540,47000,94,Solved,Police
2015-BAT-130,Batticaloa,Batticaloa,Robbery,3/30/2015,Monday,No,Evening,Commercial,Well-lit,Male,25-35,2,No,3542,2300,65,Solved,Police
2015-MAT-131,Matara,Matara,Drug Offences (Heroin),9/14/2015,Monday,No,Afternoon,Coastal Area,Well-lit,Male,20-29,3,Yes,26145,25000,95,Solved,Police
2015-BAD-132,Badulla,Bandarawela,House Breaking,10/25/2015,Sunday,No,Night,Residential,Dark,Male,45-60,0,No,9245,3050,33,Under Investigation,Police
2015-PUT-133,Puttalam,Chilaw,Cheating/BCT,5/20/2015,Wednesday,No,Morning,Commercial,Well-lit,Male,60+,1,No,2615,1700,65,Solved,Self-Reported
2015-TRI-134,Trincomalee,Trincomalee,Grievous Hurt,7/20/2015,Monday,No,Evening,Public Space,Poorly-lit,Male,30-34,1,No,1410,1290,91,Solved,Hospital
2015-COL-135,Colombo,Colombo South,Drug Offences (Heroin),2/25/2015,Wednesday,No,Morning,Transport Hub,Well-lit,Male,20-29,3,Yes,26145,25000,95,Solved,Police
2015-GAM-136,Gampaha,Kelaniya,Robbery,12/5/2015,Saturday,No,Evening,Commercial,Well-lit,Female,18-24,1,No,3542,2300,65,Solved,Police
2015-KAN-137,Kandy,Kandy Central,Property Theft,8/28/2015,Friday,No,Afternoon,Public Space,Well-lit,Female,25-35,1,No,6402,3400,53,Solved,Police
2015-KAL-138,Kalutara,Kalutara,Homicide,11/5/2015,Thursday,No,Night,Public Space,Poorly-lit,Male,35-45,0,No,568,540,95,Solved,Police
2015-GAL-139,Galle,Galle City,Drug Offences (Heroin),10/20/2015,Tuesday,No,Afternoon,Transport Hub,Well-lit,Male,20-29,2,Yes,26145,25000,95,Solved,Police
2015-JAF-140,Jaffna,Kankesanturai,House Breaking,1/15/2015,Thursday,No,Night,Residential,Dark,Female,45-60,1,No,9245,3050,33,Solved,Police
2015-KUR-141,Kurunegala,Kuliyapitiya,Drug Offences (Heroin),9/22/2015,Tuesday,No,Afternoon,Transport Hub,Well-lit,Male,20-29,3,Yes,26145,25000,95,Solved,Police
2015-RAT-142,Ratnapura,Ratnapura,Grievous Hurt,3/1/2015,Sunday,No,Evening,Public Space,Poorly-lit,Male,30-34,0,No,1410,1290,91,Solved,Hospital
2015-ANU-143,Anuradhapura,Anuradhapura,Property Theft,6/18/2015,Thursday,No,Morning,Commercial,Well-lit,Female,25-35,1,No,6402,3400,53,Solved,Police
2015-BAT-144,Batticaloa,Kalkudah,Drug Offences (Heroin),2/14/2015,Saturday,No,Afternoon,Coastal Area,Well-lit,Male,20-29,3,Yes,26145,25000,95,Solved,Police
2015-MAT-145,Matara,Weligama,Robbery,3/30/2015,Monday,No,Evening,Commercial,Well-lit,Female,18-24,1,No,3542,2300,65,Solved,Police
2015-BAD-146,Badulla,Bandarawela,Cheating/BCT,10/15/2015,Thursday,No,Morning,Commercial,Well-lit,Male,60+,1,No,2615,1700,65,Solved,Self-Reported
2015-PUT-147,Puttalam,Chilaw,Drug Offences (Heroin),11/20/2015,Friday,No,Afternoon,Coastal Area,Well-lit,Male,20-29,2,Yes,26145,25000,95,Solved,Police
2015-TRI-148,Trincomalee,Trincomalee,Homicide,4/12/2015,Sunday,No,Night,Residential,Poorly-lit,Male,35-45,0,No,568,540,95,Solved,Police
2015-COL-149,Colombo,Nugegoda,Drug Offences (Cannabis),8/28/2015,Friday,No,Afternoon,Public Space,Well-lit,Male,20-29,3,Yes,49540,47000,94,Solved,Police
2015-GAM-150,Gampaha,Wattala,House Breaking,11/25/2015,Wednesday,No,Night,Residential,Dark,Male,45-60,2,No,9245,3050,33,Under Investigation,Police
2015-COL-151,Colombo,Mount Lavinia,Drug Offences (Heroin),2/28/2015,Saturday,No,Afternoon,Public Space,Well-lit,Male,20-29,2,Yes,26145,25000,95,Solved,Police
2015-GAM-152,Gampaha,Kelaniya,Robbery,5/15/2015,Friday,No,Evening,Transport Hub,Well-lit,Female,25-35,1,No,3542,2300,65,Solved,Police
2015-KAN-153,Kandy,Kandy Town,Statutory Rape,7/20/2015,Monday,No,Afternoon,Residential,Well-lit,Female,Under 16,0,No,1258,1180,93,Solved,NGO
2015-KAL-154,Kalutara,Panadura,House Breaking,4/14/2015,Tuesday,Yes,Night,Residential,Dark,Male,35-45,1,No,9245,3050,33,Under Investigation,Police
2015-GAL-155,Galle,Ambalangoda,Drug Offences (Heroin),10/10/2015,Saturday,No,Morning,Coastal Area,Well-lit,Male,30-34,2,Yes,26145,25000,95,Solved,Police
2015-JAF-156,Jaffna,Jaffna,Homicide,3/25/2015,Wednesday,No,Night,Public Space,Poorly-lit,Male,25-35,0,No,568,540,95,Solved,Police
2015-KUR-157,Kurunegala,Kurunegala Town,Property Theft,6/18/2015,Thursday,No,Afternoon,Commercial,Well-lit,Female,45-60,1,No,6402,3400,53,Solved,Police
2015-RAT-158,Ratnapura,Ratnapura Town,Grievous Hurt,11/12/2015,Thursday,No,Evening,Residential,Poorly-lit,Male,35-45,0,No,1410,1290,91,Solved,Hospital
2015-ANU-159,Anuradhapura,Anuradhapura,Drug Offences (Cannabis),1/22/2015,Thursday,No,Morning,Agricultural,Well-lit,Male,20-29,1,Yes,49540,47000,94,Solved,Police
